smiles,Mol ID,canonical_smiles
CCCC1=CC=C(C2=NC(C3=CC=CN=C3)=CS2)S1,MOL_667,CCCc1ccc(-c2nc(-c3cccnc3)cs2)s1
CC1=NC(C(C)N2C=C(C3=CC=C4OCCC4=C3)N=N2)=NC=C1,MOL_668,Cc1ccnc(C(C)n2cc(-c3ccc4c(c3)CCO4)nn2)n1
COCCOC1=CC=C(C2=NC([C@H](C)N(C)C(=O)C3=CNC4=NC=CC=C34)=CS2)C=C1,MOL_669,COCCOc1ccc(-c2nc([C@H](C)N(C)C(=O)c3c[nH]c4ncccc34)cs2)cc1
COCCCN1C(C)=CC(C2=CSC(CN(C)C(=O)C3=NNC4=NC=CC=C34)=N2)=C1C,MOL_670,COCCCn1c(C)cc(-c2csc(CN(C)C(=O)c3n[nH]c4ncccc34)n2)c1C
Nc1cc(-c2cnc3cc[nH]c3n2)cc(F)c1N,MOL_671,Nc1cc(-c2cnc3cc[nH]c3n2)cc(F)c1N
COC1=NC(C2=CC3=CN(C)N=C3C=C2)=CC=C1N,MOL_672,COc1nc(-c2ccc3nn(C)cc3c2)ccc1N
CCOC(=O)C1=CSC(C2CN(C(=O)C3=CC(C4=CC=CO4)=NC4=CC=CC=C34)CCO2)=N1,MOL_673,CCOC(=O)c1csc(C2CN(C(=O)c3cc(-c4ccco4)nc4ccccc34)CCO2)n1
CC1=CC(C2=CC=C3OCCCC3=C2)=NC=C1N,MOL_674,Cc1cc(-c2ccc3c(c2)CCCO3)ncc1N
CCC1=C(C)SC=C1C(=O)NCC1CN(C2=CC(C3=CC=CO3)=NC(C)=N2)CCO1,MOL_675,CCc1c(C(=O)NCC2CN(c3cc(-c4ccco4)nc(C)n3)CCO2)csc1C
NC1=CC=C(C2=CNC3=NC=C(Cl)C=C23)C=N1,MOL_676,Nc1ccc(-c2c[nH]c3ncc(Cl)cc23)cn1
O[C@H]1C[C@@H](NC2=NC=CC(C3=CC=CO3)=N2)[C@@H]1N1C=CC=N1,MOL_677,O[C@H]1C[C@@H](Nc2nccc(-c3ccco3)n2)[C@@H]1n1cccn1
