smiles,Similarity,MW,LogP,HBD,HBA,TPSA,RotB
COC1=CC=C(C2=CC=NC(NC(=O)C3=CSC(C4=CC=C(C)N=C4)=N3)=N2)C=C1,0.20652173913043478,403.4670000000001,4.2314200000000035,1.0,7.0,89.89,5.0
CN1CCN(C2=CN=CC(NNC(=O)C3=CSC(C4=CC=C(O)C=C4)=N3)=N2)CC1,0.20652173913043478,411.4910000000002,1.8143999999999998,3.0,9.0,106.51,5.0
CNC(=O)C1=CC=CC(C(=O)N2CCN(C)C(C3=CN(C4=CC=CN=C4)N=N3)C2)=C1,0.20618556701030927,405.46200000000005,1.1507999999999994,1.0,6.0,96.25,4.0
CC1=CC=C(C)C(C2=CSC(NC(=O)N3CCC(C4=CN=CC=N4)C3)=N2)=C1,0.20618556701030927,379.4890000000001,4.2383400000000035,1.0,5.0,71.01,3.0
COC1=CC(C(=O)N2CCC(C)(C3=NC(C4=CC=C(C)C=C4)=CS3)CC2)=CN(C)C1=O,0.20618556701030927,437.56500000000017,4.019720000000003,0.0,5.0,64.43,4.0
COC(=O)CCC1CN(C(=O)C2=NN3C(C4=C(C)N(C)N=C4)=CC=NC3=C2)CCO1,0.20588235294117646,412.45000000000016,1.2324199999999992,0.0,7.0,103.85000000000001,5.0
CNC1=NC=CC(C2=C(C)C3=CC=CC=C3N2)=N1,0.20512820512820512,238.294,2.9750200000000007,2.0,3.0,53.6,2.0
CCC1=NNC2=CC=C(C3=NC(NC)=NC=C3)C=C12,0.20481927710843373,253.309,2.6240000000000006,2.0,4.0,66.49000000000001,3.0
CN1CCCC1C1=NC(C2=CC3=CC=CN=C3N2)=CS1,0.20454545454545456,284.38800000000003,3.453100000000002,1.0,4.0,44.81,2.0
CN1C=C(C2=CC=CC=C2CNC2=CC=NC(NCC3=CC([N+](=O)[O-])=CC=C3)=N2)C=N1,0.20408163265306123,415.4570000000001,4.009500000000002,2.0,7.0,110.8,8.0
CC1CN(C2=CC=C(C(=O)NC(C3=NC(C4=CC=CN=C4)=CS3)C3CC3)C=C2)CC(C)O1,0.20408163265306123,448.5920000000002,4.699800000000004,1.0,6.0,67.35000000000001,6.0
CCC1=NOC(C(=O)N(CC)CC2=NC(C3=CN(C)C4=CC=CC=C34)=CS2)=C1,0.20408163265306123,394.50000000000006,4.514500000000004,0.0,5.0,64.16,6.0
COC1=CN=CC(C2=CN([C@H]3COC[C@H]3NC(=O)C3=CSC(C4=CC=NC=C4)=N3)N=N2)=C1,0.20388349514563106,449.4960000000001,2.2371,1.0,9.0,116.94,6.0
CN1N=CC2=NC(C3=CC=NC(N)=C3)=CC=C21,0.20253164556962025,225.25500000000002,1.6124999999999998,1.0,4.0,69.62,1.0
Cc1ccnc(-c2cc3c(=O)[nH]c(C)nc3cn2)c1,0.20253164556962025,252.27700000000002,1.9969399999999997,1.0,4.0,71.53,1.0
COC1=CC=CC=C1C(NC1=NC2=CC(Br)=CN=C2N1)C1CC1,0.20224719101123595,373.2540000000001,4.292200000000003,2.0,4.0,62.83,5.0
O[C@H]1C[C@@H](NC2=NC=CC(C3=CC=CO3)=N2)[C@@H]1N1C=CC=N1,0.20224719101123595,297.318,1.7194999999999998,2.0,6.0,89.00000000000001,4.0
COC1=CC=C([C@@H](C)NC2=NC(C3=CC=CC=N3)=NC3=C2C=CS3)C(OC)=C1,0.20212765957446807,392.48400000000015,4.9436000000000035,1.0,7.0,69.16,6.0
COC1=CC=NC(N2CCN(C(=O)C3=CN=CC(C4=CNN=C4)=C3)CCC2C)=N1,0.20202020202020202,393.45100000000014,2.0113,1.0,7.0,100.13,4.0
CCC1=NOC(C(=O)N2CCC(NC3=NC=CC(C4=CC=CC=C4)=N3)C(O)C2)=C1,0.20202020202020202,393.4470000000001,2.3815,2.0,7.0,104.38000000000001,5.0
CCN1N=NN=C1CNC1=NC(C2=CC=NN2C)=CC=N1,0.2,285.315,0.49559999999999943,1.0,7.0,99.23,5.0
COC1=CC(C2=CNC3=NC=CC=C23)=NC(CO)=C1,0.2,255.277,2.1258,2.0,4.0,71.03,3.0
CCOC1=CC=CC=C1C(C)NC1=NC2=CC=C(OC)C=C2C(N2CCC3=C(C2)NN=C3)=N1,0.2,444.53900000000027,4.496000000000002,2.0,7.0,88.19,7.0
CNc1nccc(-c2cc3cc(Cl)ccc3o2)n1,0.2,259.69599999999997,3.584900000000002,1.0,4.0,50.95,2.0
CCNC1=NC(C(=O)N2CC[C@H](NC3=NC=CC(C4=CC=CO4)=N3)[C@H](CO)C2)=CS1,0.2,428.51800000000014,2.5600000000000005,3.0,9.0,116.41000000000001,7.0
CN1CCN(C(=O)C2=CC=NC(C3=CN(CC4=CN=CO4)N=N3)=C2)C(C(=O)O)C1,0.2,397.3950000000001,0.2172,1.0,8.0,130.48,5.0
COC1=CC2=C(C=C1C(=O)N1CCC(NC3=NC(C4=C(C)OC=C4)=CS3)C1)NC=C2,0.19811320754716982,422.5100000000001,4.528020000000003,2.0,6.0,83.38999999999999,5.0
COC(=O)C1=CC(C(=O)N2CCCC(CC3=CN(C4=CC=CC5=NC=CC=C45)N=N3)C2)=CN1C,0.19811320754716982,458.5220000000001,3.0355000000000016,0.0,6.0,95.14000000000001,5.0
CCOC1=CC(C(=O)NC(C)C2CN(C(=O)C3=CC=C4C=NC=CC4=N3)CCO2)=NN1,0.19811320754716982,424.4610000000001,1.4110999999999994,2.0,7.0,122.33000000000001,6.0
CC1=NN(C)C=C1C1=CSC(C2(NC(=O)C3=CC=CC(N4CCOCC4)=C3)CC2)=N1,0.19801980198019803,423.5420000000003,3.1077200000000014,1.0,6.0,72.28,5.0
CN1CCN(CC2=CC(C(=O)N(C)CCC3=NC(C4=CC=CN=C4)=CS3)=NO2)CC1,0.19801980198019803,426.5460000000001,2.2552000000000003,0.0,8.0,78.60000000000001,7.0
